Oradea, Zerind, 71
Oradea, Sibiu, 151
Arada, Zerind, 75
Sibiu, Arada, 140
Timisoara, Arada, 118
Timisoara, Lugoj, 111
Lugoj, Mehadia, 70
Mehadia, Dobreta, 75
Dobreta, Craiova, 120
Craiova, Rimnicu Vilcea, 146
Rimnicu Vilcea, Sibiu, 80
Rimnicu Vilcea, Pitesti, 97
Craiova, Pitesti, 138
Sibiu, Fagaras, 99
Pitesti, Bucharest, 101
Fagaras, Bucharest, 211
Bucharest, Giurgiu, 90
Bucharest, Urziceni, 85
Urziceni, Hirsova, 98
Hirsova, Eforie, 86
Urziceni, Vaslui, 142
Vaslui, Lasi, 92
Lasi, Neamt, 87
